N,P,K,temperature,humidity,ph,rainfall,label
0.12142857142857143,0.07857142857142857,0.045000000000000005,0.21723407648050286,0.9089897969140845,0.48532225477197954,0.2968516106251552,16
0.2642857142857143,0.5285714285714286,0.07,0.5371096469192912,0.6425794576831555,0.56594073415249,0.17630751919778764,2
0.049999999999999996,0.48571428571428577,0.1,0.5364785836578553,0.5700580212035261,0.588352285874467,0.08931843924114428,10
0.7214285714285714,0.4642857142857143,0.215,0.4744620898820493,0.7088980033909698,0.3900174732265599,0.3457695808327759,1
0.0,0.08571428571428572,0.125,0.7646842873547084,0.3931813922011559,0.43145185284444276,0.2783274039561306,12
0.47857142857142854,0.32857142857142857,0.095,0.4211586972002722,0.5489178786529263,0.3233763159067926,0.15966170332954616,11
0.24285714285714285,0.9642857142857143,0.965,0.36954266998724317,0.9236737803979709,0.34943029163272565,0.34082707409015284,0
0.05714285714285714,0.12857142857142856,0.165,0.300586595124287,0.8506058973293791,0.5443972297460493,0.30595476351703016,19
0.0,0.11428571428571428,0.135,0.7768442655299519,0.46653852571975396,0.4549351733527799,0.25822134627262405,12
0.95,0.3,0.095,0.4469640001757248,0.7574974163796282,0.579529755654465,0.25320703560338537,6
0.2571428571428571,0.2714285714285714,0.07999999999999999,0.5606204062245254,0.823558943993638,0.5653956774582298,0.11707507977360547,14
0.12142857142857143,0.42142857142857143,0.065,0.8013011683620024,0.5131890330263422,0.4003882905437429,0.3747044001396525,18
0.2642857142857143,0.4357142857142857,0.39999999999999997,0.3473785056510067,0.054133125024737244,0.4589799119524287,0.20743736344066582,3
0.05714285714285714,0.8214285714285714,0.9800000000000001,0.35469336846518174,0.8967720914879955,0.43798626072186486,0.3661871772903953,0
0.8428571428571429,0.25,0.15000000000000002,0.50286251657403,0.5160885196732017,0.6151188696629244,0.36376196865350685,5
0.04285714285714286,0.4357142857142857,0.049999999999999996,0.7491019682376503,0.18816301442551697,0.4418202454058835,0.4992987717626609,18
0.6357142857142857,0.34285714285714286,0.195,0.46087050510377114,0.6725560556675985,0.5932787536512136,0.46689362523818156,8
0.6,0.2285714285714286,0.185,0.4783690109686498,0.7800992445213676,0.4955138794984377,0.5376303196942067,8
0.6142857142857142,0.25,0.17,0.48480407522170577,0.8621288790907653,0.42030561195272553,0.5580467256418556,8
0.42857142857142855,0.37857142857142856,0.23,0.9539924361737644,0.9176296745160561,0.5187985023772967,0.5225781104793875,17
0.16428571428571428,0.5,0.060000000000000005,0.46050685729679863,0.5802085398128899,0.5743591912379373,0.1003643160868463,10
0.24285714285714285,0.9142857142857143,0.985,0.18618346552667914,0.7679957111905154,0.3576867466690419,0.19576353101121458,7
0.6357142857142857,0.2857142857142857,0.155,0.3586637590362036,0.7724019184678718,0.4568535698977121,0.5935923752825043,20
0.06428571428571428,0.03571428571428571,0.025,0.38822096679508067,0.9246311644143366,0.38965904870036927,0.2917196855507195,16
0.007142857142857143,0.30714285714285716,0.095,0.5888200453560442,0.8322554441541289,0.42425211108826966,0.13902326871025206,14
0.16428571428571428,0.13571428571428573,0.135,0.5536939787210176,0.37214010624584015,0.3305996433578683,0.2621942316020122,12
0.07857142857142857,0.5214285714285715,0.08499999999999999,0.4324812552275944,0.09882917551411302,0.37879724929239234,0.33178144094629897,9
0.2785714285714286,0.8857142857142857,0.9900000000000001,0.7335346727283317,0.8040109311261916,0.3668927232709427,0.18213509993799892,7
0.06428571428571428,0.37142857142857144,0.095,0.6044982171966591,0.8802122154185377,0.569234239039776,0.08136222038361936,14
