[ 2025-10-26 18:04:09,983 ] root - INFO - Data saved to ./Datas/raw
[ 2025-10-27 13:07:17,541 ] root - INFO - Raw data loaded successfully
[ 2025-10-27 13:07:17,542 ] root - INFO - preprocessing the data 
[ 2025-10-27 13:07:17,542 ] root - INFO - Starting the preprocessing Step
[ 2025-10-27 13:07:17,545 ] root - INFO - Starting up with the train test split 
[ 2025-10-27 13:07:17,547 ] root - INFO - Done with the splitting 
[ 2025-10-27 13:07:17,547 ] root - INFO - Starting with the scaling 
[ 2025-10-27 13:07:17,549 ] root - INFO - Done with the scailing  
[ 2025-10-27 13:07:17,549 ] root - INFO - X_train_scaled shape : (1760, 7) and X_test_scaled (1760, 7)
[ 2025-10-27 13:07:17,550 ] root - INFO - Converting the trained array into dataframe
[ 2025-10-27 13:07:17,550 ] root - INFO - Converting the test array into dataframe
[ 2025-10-27 13:07:17,550 ] root - INFO - 
Preprocessing completed successfully!
[ 2025-10-27 13:07:17,550 ] root - INFO - saving the preprocessing csv's 
[ 2025-10-27 13:07:17,570 ] root - INFO - Processed train and test data saved successfully in /Users/arpitgupta/Desktop/MLOPS+LLMOPS/MLOPS-LLMOPS/Datas/processed
[ 2025-10-27 13:41:12,086 ] root - INFO - Data loaded from /Users/arpitgupta/Desktop/MLOPS+LLMOPS/MLOPS-LLMOPS/Datas/processed/train_preprocessed.csv
[ 2025-10-27 13:41:12,089 ] root - INFO - training the model 
[ 2025-10-27 13:41:12,089 ] root - ERROR - Error during model training: RandomForestClassifier.__init__() takes from 1 to 2 positional arguments but 5 were given
[ 2025-10-27 13:41:12,089 ] root - ERROR - Failed to complete the model building process: RandomForestClassifier.__init__() takes from 1 to 2 positional arguments but 5 were given
[ 2025-10-27 13:41:45,707 ] root - INFO - Data loaded from /Users/arpitgupta/Desktop/MLOPS+LLMOPS/MLOPS-LLMOPS/Datas/processed/train_preprocessed.csv
[ 2025-10-27 13:41:45,709 ] root - INFO - training the model 
[ 2025-10-27 13:41:45,709 ] root - ERROR - Error during model training: RandomForestClassifier.__init__() takes from 1 to 2 positional arguments but 3 were given
[ 2025-10-27 13:41:45,709 ] root - ERROR - Failed to complete the model building process: RandomForestClassifier.__init__() takes from 1 to 2 positional arguments but 3 were given
